0DEtoFR.2	6.183958	49.637776	22.000000
0DEtoLU.0	6.184291	49.638032	22.000000
0LUtoBE.0	6.127702	49.567440	22.000000
AVL---_CN_1_0	6.110337	49.600029	22.000000
AVL---_CN_1_1	6.133523	49.600251	22.000000
CNA____NBNA_0	6.171082	49.632267	22.000000
CNA____NBNA_1	6.131620	49.608408	22.000000
randUni11317:1	6.140233	49.597437	22.000000
randUni16882:1	6.176292	49.635800	22.000000
randUni18368:1	6.125169	49.602467	22.000000
randUni20481:1	6.137030	49.603695	22.000000
randUni834:1	6.104366	49.617162	22.000000
0DEtoFR.0	6.181639	49.634236	23.000000
0DEtoFR.1	6.182267	49.635821	23.000000
0DEtoFR.2	6.183694	49.637554	23.000000
0DEtoLU.0	6.184033	49.637838	23.000000
0LUtoBE.0	6.127535	49.567721	23.000000
AVL---_CN_1_0	6.110402	49.600028	23.000000
AVL---_CN_1_1	6.133533	49.600290	23.000000
CNA____NBNA_0	6.171082	49.632267	23.000000
CNA____NBNA_1	6.131559	49.608505	23.000000
randUni11317:1	6.140213	49.597388	23.000000
randUni16882:1	6.176339	49.635773	23.000000
randUni18368:1	6.125191	49.602353	23.000000
randUni20481:1	6.137189	49.603644	23.000000
randUni834:1	6.104203	49.617217	23.000000
0DEtoFR.0	6.181596	49.633978	24.000000
0DEtoFR.1	6.182098	49.635512	24.000000
0DEtoFR.2	6.183430	49.637313	24.000000
0DEtoLU.0	6.183778	49.637625	24.000000
0LUtoBE.0	6.127372	49.568009	24.000000
AVL---_CN_1_0	6.110498	49.600026	24.000000
AVL---_CN_1_1	6.133547	49.600341	24.000000
CNA____NBNA_0	6.171082	49.632267	24.000000
CNA____NBNA_1	6.131497	49.608598	24.000000
randUni11317:1	6.140250	49.597323	24.000000
randUni16882:1	6.176366	49.635737	24.000000
randUni18368:1	6.125214	49.602241	24.000000
randUni20481:1	6.137345	49.603581	24.000000
randUni834:1	6.104035	49.617248	24.000000
0DEtoFR.0	6.181559	49.633709	25.000000
0DEtoFR.1	6.181950	49.635196	25.000000
0DEtoFR.2	6.183179	49.637049	25.000000
0DEtoLU.0	6.183513	49.637389	25.000000
0LUtoBE.0	6.127233	49.568272	25.000000
AVL---_CN_1_0	6.110613	49.600023	25.000000
AVL---_CN_1_1	6.133564	49.600406	25.000000
CNA____NBNA_0	6.171082	49.632267	25.000000
CNA____NBNA_1	6.131430	49.608694	25.000000
randUni11317:1	6.140309	49.597237	25.000000
